Country_name,Regional_indicator,year,Logged_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption
Thailand,Southeast Asia,2008,9.52,0.832,64.82,0.868,0.425,0.933
Czech Republic,Central and Eastern Europe,2018,10.583,0.929,70.3,0.79,-0.292,0.851
Greece,Western Europe,2010,10.433,0.868,71.5,0.484,-0.303,0.954
Kyrgyzstan,Commonwealth of Independent States,2019,8.567,0.877,64.4,0.92,-0.002,0.885
Slovenia,Central and Eastern Europe,2012,10.397,0.925,69.6,0.904,-0.02,0.891
Lebanon,Middle East and North Africa,2011,9.838,0.733,65.28,0.657,0.006,0.911
Chile,Latin America and Caribbean,2006,9.85,0.836,68.66,0.744,0.168,0.634
Togo,Sub-Saharan Africa,2014,7.247,0.444,53.02,0.663,-0.085,0.795
Norway,Western Europe,2012,11.017,0.948,72.24,0.947,0.147,0.368
Norway,Western Europe,2018,11.056,0.966,73.2,0.96,0.094,0.268
Austria,Western Europe,2008,10.887,0.935,71.08,0.879,0.291,0.614
Zambia,Sub-Saharan Africa,2013,8.131,0.761,52.32,0.77,-0.104,0.732
Czech Republic,Central and Eastern Europe,2020,10.53,0.964,71.3,0.906,-0.127,0.884
Dominican Republic,Latin America and Caribbean,2009,9.388,0.878,63.52,0.863,-0.053,0.806
Russia,Commonwealth of Independent States,2011,10.129,0.883,61.42,0.626,-0.279,0.935
Pakistan,South Asia,2015,8.361,0.562,57.3,0.587,0.085,0.717
Malaysia,Southeast Asia,2012,10.005,0.841,65.92,0.848,0.017,0.847
Bolivia,Latin America and Caribbean,2017,9.039,0.779,63.3,0.884,-0.12,0.819
Zambia,Sub-Saharan Africa,2016,8.151,0.767,54.3,0.812,0.122,0.771
Afghanistan,South Asia,2009,7.54,0.552,51.2,0.679,0.19,0.85
Estonia,Central and Eastern Europe,2011,10.248,0.909,66.96,0.735,-0.168,0.687
Singapore,Southeast Asia,2007,11.212,0.921,73.9,0.867,0.293,0.064
Italy,Western Europe,2017,10.64,0.92,73.4,0.633,-0.035,0.867
Mali,Sub-Saharan Africa,2009,7.622,0.733,47.78,0.634,0.008,0.819
Belarus,Commonwealth of Independent States,2006,9.489,0.918,61.1,0.707,-0.246,0.708
Ukraine,Commonwealth of Independent States,2006,9.38,0.852,60.12,0.624,-0.257,0.929
United States,North America and ANZ,2010,10.905,0.926,68.7,0.828,0.244,0.69
Ukraine,Commonwealth of Independent States,2007,9.459,0.82,60.64,0.494,-0.241,0.968
Estonia,Central and Eastern Europe,2012,10.282,0.889,67.22,0.697,-0.192,0.793
Burundi,Sub-Saharan Africa,2014,6.787,0.565,51.82,0.431,-0.059,0.808
Russia,Commonwealth of Independent States,2015,10.149,0.924,63.1,0.685,-0.171,0.913
Uzbekistan,Commonwealth of Independent States,2017,8.782,0.942,64.8,0.985,0.123,0.465
Czech Republic,Central and Eastern Europe,2015,10.496,0.911,68.8,0.808,-0.146,0.886
Italy,Western Europe,2019,10.655,0.838,73.8,0.709,-0.082,0.866
Germany,Western Europe,2010,10.756,0.939,70.9,0.843,0.095,0.688
Ethiopia,Sub-Saharan Africa,2020,7.711,0.823,59.5,0.769,0.188,0.784
South Africa,Sub-Saharan Africa,2007,9.426,0.788,48.64,0.69,-0.158,0.859
Estonia,Central and Eastern Europe,2014,10.331,0.917,67.74,0.773,-0.153,0.652
Congo (Brazzaville),Sub-Saharan Africa,2019,8.101,0.625,58.5,0.686,-0.046,0.741
Mali,Sub-Saharan Africa,2021,7.744,0.724,51.969,0.697,-0.036,0.827
Morocco,Middle East and North Africa,2018,8.914,0.554,65.9,0.773,-0.234,0.843
Moldova,Commonwealth of Independent States,2015,9.246,0.84,62.9,0.595,-0.09,0.943
Swaziland,Sub-Saharan Africa,2018,9.06,0.779,50.353,0.71,-0.178,0.692
Vietnam,Southeast Asia,2010,8.535,0.787,66.5,0.831,-0.006,0.743
Israel,Middle East and North Africa,2009,10.425,0.937,72.08,0.593,0.172,0.923
Guatemala,Latin America and Caribbean,2019,9.064,0.774,65.1,0.901,-0.062,0.773
Israel,Middle East and North Africa,2021,10.575,0.939,73.503,0.8,0.031,0.753
Iran,Middle East and North Africa,2013,9.443,0.664,64.62,0.73,0.216,0.685
Canada,North America and ANZ,2021,10.776,0.926,73.8,0.915,0.089,0.415
Kenya,Sub-Saharan Africa,2018,8.344,0.707,60.1,0.821,0.291,0.844
Tajikistan,Commonwealth of Independent States,2011,7.772,0.751,62.56,0.776,-0.119,0.672
Albania,Central and Eastern Europe,2018,9.518,0.684,68.7,0.824,0.009,0.899
Burundi,Sub-Saharan Africa,2008,6.719,0.291,49.02,0.26,-0.019,0.86
Indonesia,Southeast Asia,2017,9.3,0.796,61.9,0.865,0.488,0.9
Sierra Leone,Sub-Saharan Africa,2015,7.347,0.611,46.0,0.624,0.05,0.825
Benin,Sub-Saharan Africa,2017,8.021,0.436,53.9,0.727,-0.065,0.767
France,Western Europe,2008,10.674,0.935,71.84,0.833,-0.031,0.669
Nicaragua,Latin America and Caribbean,2010,8.436,0.863,65.5,0.792,0.018,0.802
Guinea,Sub-Saharan Africa,2021,7.838,0.639,55.008,0.697,0.095,0.766
New Zealand,North America and ANZ,2013,10.571,0.958,72.36,0.944,0.237,0.312
Costa Rica,Latin America and Caribbean,2008,9.662,0.916,69.82,0.912,0.096,0.816
Egypt,Middle East and North Africa,2010,9.244,0.769,60.0,0.486,-0.076,0.826
Israel,Middle East and North Africa,2011,10.489,0.893,72.46,0.722,0.141,0.891
Bosnia and Herzegovina,Central and Eastern Europe,2009,9.296,0.735,66.48,0.258,-0.026,0.959
Hong Kong S.A.R. of China,East Asia,2011,10.887,0.846,83.41,0.894,0.235,0.245
Germany,Western Europe,2014,10.835,0.938,71.22,0.899,0.088,0.474
Mexico,Latin America and Caribbean,2007,9.825,0.879,66.32,0.67,-0.095,0.747
Kosovo,Central and Eastern Europe,2013,9.113,0.721,70.8,0.568,0.115,0.935
Burundi,Sub-Saharan Africa,2011,6.748,0.422,50.68,0.49,-0.062,0.677
El Salvador,Latin America and Caribbean,2017,9.042,0.829,65.8,0.758,-0.172,0.778
Honduras,Latin America and Caribbean,2015,8.572,0.772,66.6,0.534,-0.097,0.848
Ghana,Sub-Saharan Africa,2018,8.555,0.761,57.2,0.817,0.062,0.846
Senegal,Sub-Saharan Africa,2017,8.072,0.744,59.2,0.687,-0.044,0.825
Poland,Central and Eastern Europe,2020,10.371,0.953,70.1,0.767,-0.007,0.787
Turkey,Middle East and North Africa,2013,10.091,0.795,65.12,0.541,-0.229,0.698
Senegal,Sub-Saharan Africa,2015,7.995,0.702,58.4,0.72,-0.111,0.765
Honduras,Latin America and Caribbean,2008,8.52,0.828,65.02,0.687,0.223,0.863
Serbia,Central and Eastern Europe,2013,9.638,0.828,66.68,0.533,-0.1,0.908
Algeria,Middle East and North Africa,2010,9.287,0.8122,64.5,0.593,-0.205,0.618
Afghanistan,South Asia,2018,7.692,0.508,52.6,0.374,-0.094,0.928
Comoros,Sub-Saharan Africa,2018,8.028,0.621,57.2,0.56,0.086,0.794
Burundi,Sub-Saharan Africa,2009,6.723,0.326,49.66,0.427,-0.019,0.718
Turkey,Middle East and North Africa,2012,10.026,0.739,64.88,0.471,-0.216,0.702
Georgia,Commonwealth of Independent States,2015,9.442,0.517,65.1,0.64,-0.205,0.502
Argentina,Latin America and Caribbean,2006,9.942,0.938,66.82,0.733,-0.157,0.852
Indonesia,Southeast Asia,2007,8.898,0.704,59.98,0.603,0.311,0.96
Bangladesh,South Asia,2015,8.216,0.601,62.8,0.815,-0.068,0.721
Tanzania,Sub-Saharan Africa,2015,7.764,0.79,56.0,0.759,0.149,0.906
Guinea,Sub-Saharan Africa,2014,7.632,0.638,50.88,0.684,0.006,0.705
Uganda,Sub-Saharan Africa,2009,7.505,0.852,49.42,0.76,-0.037,0.84
New Zealand,North America and ANZ,2018,10.66,0.954,73.2,0.949,0.12,0.207
Turkmenistan,Commonwealth of Independent States,2012,9.269,0.946,60.28,0.786,-0.123,0.6
North Macedonia,Central and Eastern Europe,2013,9.541,0.832,64.942,0.641,0.025,0.861
Paraguay,Latin America and Caribbean,2013,9.326,0.939,64.86,0.909,0.046,0.903
Canada,North America and ANZ,2007,10.739,0.9316666666666665,71.66,0.93,0.249,0.406
Tajikistan,Commonwealth of Independent States,2020,8.08,0.79,64.7,0.7694545454545455,-0.04,0.55
Cameroon,Sub-Saharan Africa,2007,8.028,0.717,46.56,0.644,-0.031,0.91
Norway,Western Europe,2017,11.05,0.95,73.1,0.953,0.236,0.25
Ecuador,Latin America and Caribbean,2017,9.36,0.849,68.2,0.879,-0.167,0.734
Uzbekistan,Commonwealth of Independent States,2021,8.836,0.918,65.255,0.97,0.311,0.515
Chile,Latin America and Caribbean,2021,10.071,0.882,70.0,0.742,-0.044,0.83
Armenia,Commonwealth of Independent States,2015,9.334,0.723,66.0,0.551,-0.203,0.901
Honduras,Latin America and Caribbean,2021,8.648,0.812,67.3,0.857,0.081,0.809
Turkmenistan,Commonwealth of Independent States,2017,9.561,0.908,61.8,0.72,0.066,0.6
Albania,Central and Eastern Europe,2012,9.347,0.785,66.96,0.602,-0.169,0.848
Slovenia,Central and Eastern Europe,2016,10.463,0.934,70.5,0.904,-0.055,0.838
South Africa,Sub-Saharan Africa,2013,9.461,0.839,53.38,0.714,-0.077,0.8
Thailand,Southeast Asia,2014,9.672,0.933,66.38,0.9,0.553,0.92
Poland,Central and Eastern Europe,2005,9.849,0.922,66.3,0.782,-0.05766666666666667,0.983
Azerbaijan,Commonwealth of Independent States,2019,9.575,0.887,65.8,0.854,-0.214,0.457
China,East Asia,2015,9.449,0.794,68.4,0.85575,-0.244,0.755
Taiwan Province of China,East Asia,2008,10.606,0.83,69.14,0.642,-0.017,0.785
Austria,Western Europe,2012,10.889,0.945,71.68,0.92,0.118,0.771
Ivory Coast,Sub-Saharan Africa,2017,8.483,0.661,48.9,0.732,-0.111,0.771
Laos,Southeast Asia,2008,8.366,0.807,54.96,0.886,0.416,0.637
Gabon,Sub-Saharan Africa,2012,9.621,0.736,56.16,0.566,-0.195,0.81
Albania,Central and Eastern Europe,2011,9.331,0.759,66.68,0.487,-0.205,0.877
Dominican Republic,Latin America and Caribbean,2014,9.582,0.891,64.68,0.905,-0.02,0.76
Israel,Middle East and North Africa,2013,10.515,0.909,72.58,0.739,0.15,0.849
Tajikistan,Commonwealth of Independent States,2007,7.609,0.727,61.08,0.818,0.0,0.659
Netherlands,Western Europe,2019,10.953,0.941,72.4,0.886,0.213,0.36
Uganda,Sub-Saharan Africa,2013,7.595,0.878,52.86,0.763,0.053,0.82
Uzbekistan,Commonwealth of Independent States,2009,8.4,0.905,62.76,0.9366666666666666,0.013,0.61
Cambodia,Southeast Asia,2016,8.225,0.746,60.8,0.958,0.076,0.84
Guinea,Sub-Saharan Africa,2017,7.792,0.634,53.3,0.738,0.038,0.75
Serbia,Central and Eastern Europe,2020,9.788,0.852,69.0,0.843,0.149,0.824
Rwanda,Sub-Saharan Africa,2021,7.676,0.552,61.4,0.897,0.061,0.167
Sierra Leone,Sub-Saharan Africa,2013,7.577,0.708,45.16,0.72,-0.071,0.856
Iraq,Middle East and North Africa,2018,9.274,0.764,60.2,0.598,-0.068,0.887
Croatia,Central and Eastern Europe,2012,10.072,0.776,68.1,0.542,-0.242,0.924
Estonia,Central and Eastern Europe,2008,10.298,0.904,65.78,0.642,-0.217,0.663
Mozambique,Sub-Saharan Africa,2017,7.157,0.678,53.2,0.823,-0.03,0.682
Argentina,Latin America and Caribbean,2016,10.051,0.883,68.4,0.848,-0.192,0.851
El Salvador,Latin America and Caribbean,2007,8.887,0.717,63.24,0.639,-0.015,0.785
Japan,East Asia,2016,10.595,0.9,74.8,0.836,-0.062,0.698
Georgia,Commonwealth of Independent States,2021,9.585,0.671,64.3,0.783,-0.238,0.655
Nigeria,Sub-Saharan Africa,2013,8.581,0.663,47.58,0.622,0.051,0.905
North Macedonia,Central and Eastern Europe,2011,9.518,0.784,64.661,0.607,-0.087,0.865
Tajikistan,Commonwealth of Independent States,2010,7.723,0.759,62.4,0.784,0.062,0.679
Bolivia,Latin America and Caribbean,2019,9.074,0.784,63.9,0.881,-0.086,0.857
Uganda,Sub-Saharan Africa,2018,7.66,0.74,55.7,0.729,0.079,0.856
Congo (Brazzaville),Sub-Saharan Africa,2011,8.18,0.637,54.58,0.745,-0.109,0.833
Serbia,Central and Eastern Europe,2007,9.532,0.844,65.6,0.453,-0.165,0.905
Israel,Middle East and North Africa,2019,10.601,0.946,73.5,0.834,0.085,0.743
Sri Lanka,South Asia,2019,9.479,0.815,67.4,0.824,0.051,0.863
Palestinian Territories,Middle East and North Africa,2009,8.329,0.738,62.132,0.468,-0.085,0.797
Portugal,Western Europe,2006,10.36,0.905,69.84,0.882,-0.179,0.88
Hong Kong S.A.R. of China,East Asia,2014,10.94,0.834,83.94,0.843,0.224,0.423
Mozambique,Sub-Saharan Africa,2021,7.158,0.744,54.706,0.882,0.061,0.684
Zambia,Sub-Saharan Africa,2007,7.871,0.688,45.72,0.682,-0.067,0.948
United States,North America and ANZ,2009,10.888,0.912,68.54,0.831,0.201,0.665
Saudi Arabia,Middle East and North Africa,2020,10.701,0.89,66.9,0.884,-0.111,0.5446666666666666
Bosnia and Herzegovina,Central and Eastern Europe,2010,9.312,0.773,66.7,0.365,-0.128,0.933
Luxembourg,Western Europe,2021,11.647,0.908,72.6,0.907,-0.034,0.386
Togo,Sub-Saharan Africa,2011,7.146,0.303,51.58,0.584,-0.07,0.832
Myanmar,Southeast Asia,2020,8.554,0.796,59.6,0.825,0.47,0.647
Indonesia,Southeast Asia,2021,9.365,0.811,62.236,0.873,0.542,0.867
Ukraine,Commonwealth of Independent States,2019,9.458,0.883,64.9,0.715,-0.081,0.885
Lithuania,Central and Eastern Europe,2010,10.085,0.882,64.5,0.519,-0.275,0.962
Madagascar,Sub-Saharan Africa,2011,7.336,0.818,56.22,0.546,-0.062,0.897
Brazil,Latin America and Caribbean,2007,9.515,0.886,63.78,0.777,-0.016,0.728
Saudi Arabia,Middle East and North Africa,2009,10.673,0.921,64.22,0.639,-0.11,0.445
Chad,Sub-Saharan Africa,2011,7.425,0.819,45.42,0.54,0.031,0.876
Cambodia,Southeast Asia,2020,8.362,0.724,62.4,0.963,0.052,0.863
Turkmenistan,Commonwealth of Independent States,2019,9.651,0.982,62.6,0.892,0.285,0.6
Myanmar,Southeast Asia,2017,8.464,0.795,58.7,0.886,0.65,0.619
United States,North America and ANZ,2019,11.043,0.917,68.2,0.836,0.144,0.707
Botswana,Sub-Saharan Africa,2013,9.728,0.856,55.24,0.767,-0.154,0.749
Costa Rica,Latin America and Caribbean,2013,9.751,0.902,70.3,0.898,0.018,0.813
Lithuania,Central and Eastern Europe,2020,10.504,0.953,68.5,0.824,-0.122,0.829
Bangladesh,South Asia,2014,8.164,0.577,62.38,0.736,-0.098,0.789
Liberia,Sub-Saharan Africa,2014,7.391,0.708,53.28,0.59,-0.03,0.869
Guatemala,Latin America and Caribbean,2011,8.923,0.768,62.46,0.763,0.009,0.863
Chad,Sub-Saharan Africa,2007,7.359,0.479,43.66,0.295,-0.011,0.874
Ireland,Western Europe,2019,11.371,0.944,72.4,0.892,0.074,0.373
Morocco,Middle East and North Africa,2019,8.925,0.535,66.2,0.757,-0.244,0.757
Malaysia,Southeast Asia,2013,10.037,0.831,66.08,0.791,0.264,0.755
Spain,Western Europe,2009,10.532,0.929,72.62,0.749,-0.127,0.798
Uruguay,Latin America and Caribbean,2011,9.83,0.891,68.14,0.851,-0.08,0.556
Japan,East Asia,2017,10.618,0.882,74.9,0.849,-0.206,0.659
Tanzania,Sub-Saharan Africa,2012,7.663,0.832,53.78,0.577,0.213,0.887
Slovakia,Central and Eastern Europe,2014,10.244,0.924,67.76,0.635,-0.126,0.914
Georgia,Commonwealth of Independent States,2011,9.263,0.503,64.86,0.632,-0.255,0.353
Portugal,Western Europe,2008,10.384,0.886,70.32,0.646,-0.217,0.933
Bahrain,Middle East and North Africa,2013,10.757,0.884,67.14,0.809,0.0668,0.525
Czech Republic,Central and Eastern Europe,2013,10.42,0.888,68.52,0.726,-0.156,0.916
Taiwan Province of China,East Asia,2021,10.871,0.898,69.6,0.784,-0.07,0.721
Dominican Republic,Latin America and Caribbean,2006,9.314,0.919,62.68,0.858,0.038,0.755
Latvia,Central and Eastern Europe,2006,10.032,0.884,63.16,0.641,-0.229,0.937
Mexico,Latin America and Caribbean,2020,9.782,0.779,68.9,0.873,-0.119,0.778
Uganda,Sub-Saharan Africa,2021,7.677,0.781,56.101,0.709,0.122,0.855
Czech Republic,Central and Eastern Europe,2007,10.437,0.9,67.44,0.799,-0.063,0.928
Nicaragua,Latin America and Caribbean,2014,8.602,0.839,66.38,0.817,0.104,0.699
Italy,Western Europe,2014,10.599,0.898,72.96,0.624,-0.065,0.92
Cambodia,Southeast Asia,2018,8.333,0.795,61.6,0.958,0.036,0.8326
Bosnia and Herzegovina,Central and Eastern Europe,2021,9.59,0.87,68.098,0.706,0.113,0.931
Turkey,Middle East and North Africa,2017,10.238,0.876,66.4,0.644,-0.237,0.671
Lithuania,Central and Eastern Europe,2018,10.474,0.929,67.3,0.699,-0.237,0.852
Pakistan,South Asia,2007,8.277,0.479,55.0,0.396,0.089,0.794
Canada,North America and ANZ,2012,10.744,0.948,72.52,0.918,0.29,0.466
Bangladesh,South Asia,2008,7.886,0.467,59.86,0.606,-0.044,0.802
Finland,Western Europe,2020,10.75,0.962,72.1,0.962,-0.116,0.164
Turkey,Middle East and North Africa,2018,10.251,0.847,66.8,0.529,-0.176,0.805
Malawi,Sub-Saharan Africa,2021,6.958,0.537,57.948,0.78,0.038,0.729
Yemen,Middle East and North Africa,2014,8.117,0.638,54.3,0.664,-0.157,0.885
Greece,Western Europe,2020,10.215,0.779,72.8,0.565,-0.241,0.764
Kenya,Sub-Saharan Africa,2012,8.161,0.831,56.62,0.628,0.066,0.911
Kyrgyzstan,Commonwealth of Independent States,2013,8.441,0.851,62.36,0.755,-0.085,0.9
Tunisia,Middle East and North Africa,2009,9.197,0.6967999999999999,64.96,0.781,-0.119,0.722
Jamaica,Latin America and Caribbean,2021,9.186,0.877,67.5,0.89,-0.137,0.884
Zambia,Sub-Saharan Africa,2011,8.071,0.864,50.84,0.663,0.003,0.882
Japan,East Asia,2013,10.57,0.924,74.34,0.821,-0.147,0.65
Czech Republic,Central and Eastern Europe,2014,10.446,0.878,68.66,0.8,-0.168,0.897
Maldives,South Asia,2021,9.826,0.913,70.6,0.854,0.024,0.825
Ireland,Western Europe,2020,11.323,0.96,72.5,0.882,0.014,0.356
Tajikistan,Commonwealth of Independent States,2018,8.082,0.875,64.1,0.7694545454545455,-0.065,0.578
Estonia,Central and Eastern Europe,2016,10.374,0.938,68.2,0.843,-0.149,0.639
Switzerland,Western Europe,2020,11.081,0.946,74.7,0.917,-0.064,0.28
Belgium,Western Europe,2007,10.792,0.922,70.26,0.901,0.069,0.721
Philippines,Southeast Asia,2010,8.686,0.805,60.6,0.893,0.033,0.812
Paraguay,Latin America and Caribbean,2009,9.158,0.9,64.28,0.718,0.027,0.857
Costa Rica,Latin America and Caribbean,2017,9.858,0.922,71.1,0.936,-0.076,0.742
Croatia,Central and Eastern Europe,2009,10.104,0.861,67.64,0.549,-0.271,0.958
Armenia,Commonwealth of Independent States,2016,9.333,0.709,66.3,0.611,-0.17,0.921
Paraguay,Latin America and Caribbean,2016,9.406,0.94,65.3,0.854,-0.071,0.756
Azerbaijan,Commonwealth of Independent States,2021,9.569,0.836,65.656,0.814,-0.223,0.506
Armenia,Commonwealth of Independent States,2017,9.402,0.698,66.6,0.614,-0.147,0.865
Azerbaijan,Commonwealth of Independent States,2013,9.592,0.77,64.12,0.672,-0.168,0.699
New Zealand,North America and ANZ,2017,10.633,0.955,73.0,0.942,0.294,0.222
Costa Rica,Latin America and Caribbean,2019,9.885,0.906,71.5,0.927,-0.146,0.836
Moldova,Commonwealth of Independent States,2021,9.454,0.857,65.699,0.822,-0.079,0.918
Malaysia,Southeast Asia,2014,10.082,0.863,66.24,0.808,0.239,0.845
Gabon,Sub-Saharan Africa,2021,9.603,0.776,59.962,0.731,-0.2,0.84
Turkmenistan,Commonwealth of Independent States,2013,9.348,0.846,60.52,0.705,-0.071,0.6
Italy,Western Europe,2021,10.623,0.88,73.8,0.693,-0.084,0.866
Mali,Sub-Saharan Africa,2015,7.669,0.83,50.2,0.634,-0.068,0.8
Guatemala,Latin America and Caribbean,2009,8.891,0.834,61.76,0.643,0.197,0.755
Bangladesh,South Asia,2020,8.472,0.739,65.3,0.777,-0.009,0.742
United Kingdom,Western Europe,2008,10.689,0.954,70.74,0.759,0.331,0.548
Costa Rica,Latin America and Caribbean,2018,9.874,0.876,71.3,0.942,-0.107,0.781
Saudi Arabia,Middle East and North Africa,2017,10.764,0.84,66.0,0.814,-0.131,0.5446666666666666
Japan,East Asia,2019,10.632,0.878,75.1,0.806,-0.255,0.617
Turkey,Middle East and North Africa,2007,9.903,0.792,63.32,0.459,-0.178,0.8
Venezuela,Latin America and Caribbean,2005,9.313,0.955,65.4,0.838,-0.16510000000000002,0.72
Kenya,Sub-Saharan Africa,2021,8.361,0.688,60.704,0.779,0.287,0.825
Burkina Faso,Sub-Saharan Africa,2007,7.377,0.771,47.42,0.582,-0.06,0.833
Kyrgyzstan,Commonwealth of Independent States,2011,8.374,0.891,61.52,0.748,-0.155,0.932
Bulgaria,Central and Eastern Europe,2014,9.838,0.886,66.1,0.576,-0.055,0.955
Azerbaijan,Commonwealth of Independent States,2008,9.465,0.684,62.64,0.601,-0.029,0.715
Tanzania,Sub-Saharan Africa,2016,7.8,0.638,56.5,0.775,0.179,0.739
Thailand,Southeast Asia,2017,9.765,0.877,67.0,0.923,0.212,0.884
United Kingdom,Western Europe,2013,10.679,0.937,71.54,0.905,0.346,0.568
Armenia,Commonwealth of Independent States,2011,9.182,0.705,65.36,0.465,-0.225,0.875
Cameroon,Sub-Saharan Africa,2008,8.034,0.697,47.14,0.58,-0.069,0.945
China,East Asia,2013,9.319,0.778,68.08,0.805,-0.158,0.755
Ivory Coast,Sub-Saharan Africa,2013,8.274,0.709,47.1,0.739,-0.031,0.691
Denmark,Western Europe,2015,10.878,0.96,71.5,0.941,0.222,0.191
Belarus,Commonwealth of Independent States,2007,9.576,0.858,61.4,0.667,-0.225,0.695
Australia,North America and ANZ,2013,10.762,0.928,72.5,0.933,0.269,0.432
France,Western Europe,2020,10.643,0.947,74.2,0.823,-0.169,0.565
Belarus,Commonwealth of Independent States,2011,9.812,0.91,62.88,0.656,-0.168,0.672
Ghana,Sub-Saharan Africa,2009,8.174,0.633,53.66,0.757,0.005,0.89
Belarus,Commonwealth of Independent States,2018,9.846,0.905,66.1,0.644,-0.174,0.718
Australia,North America and ANZ,2016,10.791,0.942,73.0,0.922,0.239,0.399
Germany,Western Europe,2015,10.844,0.926,71.3,0.889,0.178,0.412
Romania,Central and Eastern Europe,2011,9.94,0.753,65.42,0.65,-0.14,0.964
Armenia,Commonwealth of Independent States,2007,9.181,0.76,64.9,0.605,-0.251,0.817
Uganda,Sub-Saharan Africa,2019,7.688,0.805,56.1,0.704,0.139,0.826
Brazil,Latin America and Caribbean,2010,9.607,0.906,64.5,0.806,-0.054,0.656
Chile,Latin America and Caribbean,2008,9.911,0.804,68.78,0.64,0.084,0.741
Laos,Southeast Asia,2012,8.611,0.693,56.6,0.9008750000000001,0.232,0.644625
Burkina Faso,Sub-Saharan Africa,2012,7.52,0.744,50.78,0.622,-0.07,0.726
Croatia,Central and Eastern Europe,2019,10.258,0.936,70.8,0.739,-0.137,0.932
Namibia,Sub-Saharan Africa,2019,9.173,0.845,56.8,0.739,-0.174,0.879
Malaysia,Southeast Asia,2009,9.875,0.792,65.44,0.874,-0.009,0.858
Tanzania,Sub-Saharan Africa,2009,7.572,0.837,51.4,0.607,0.308,0.903
Bulgaria,Central and Eastern Europe,2015,9.883,0.908,66.2,0.637,-0.2,0.941
Netherlands,Western Europe,2008,10.899,0.944,71.0,0.883,0.365,0.419
Kyrgyzstan,Commonwealth of Independent States,2016,8.5,0.914,63.5,0.814,0.056,0.917
Ivory Coast,Sub-Saharan Africa,2018,8.523,0.621,49.5,0.713,-0.05,0.791
France,Western Europe,2005,10.642,0.94,71.3,0.895,-0.11753846153846154,0.688
Tanzania,Sub-Saharan Africa,2021,7.876,0.702,57.999,0.833,0.183,0.577
Bosnia and Herzegovina,Central and Eastern Europe,2012,9.342,0.779,66.78,0.42,-0.013,0.953
Austria,Western Europe,2014,10.882,0.899,71.96,0.885,0.118,0.567
Ghana,Sub-Saharan Africa,2007,8.09,0.73,52.78,0.891,0.138,0.771
Mexico,Latin America and Caribbean,2010,9.788,0.876,66.5,0.778,-0.048,0.693
Malawi,Sub-Saharan Africa,2011,6.895,0.613,51.42,0.733,0.099,0.853
Ivory Coast,Sub-Saharan Africa,2014,8.334,0.711,47.4,0.781,-0.08,0.671
France,Western Europe,2014,10.674,0.878,73.0,0.803,-0.118,0.656
Kosovo,Central and Eastern Europe,2010,9.033,0.708,69.9,0.451,0.17,0.967
Bangladesh,South Asia,2011,8.018,0.606,61.12,0.838,-0.069,0.757
Paraguay,Latin America and Caribbean,2021,9.448,0.893,65.9,0.876,0.028,0.882
Ghana,Sub-Saharan Africa,2019,8.596,0.746,57.6,0.787,0.116,0.857
Morocco,Middle East and North Africa,2020,8.871,0.553,66.5,0.819,-0.229,0.803
Italy,Western Europe,2013,10.608,0.916,72.92,0.499,-0.102,0.943
Italy,Western Europe,2005,10.703,0.928,71.9,0.802,-0.0305,0.944
Romania,Central and Eastern Europe,2015,10.083,0.787,66.3,0.796,-0.141,0.962
Luxembourg,Western Europe,2016,11.64,0.941,72.6,0.882,0.019,0.356
Croatia,Central and Eastern Europe,2010,10.091,0.796,67.9,0.564,-0.237,0.973
Rwanda,Sub-Saharan Africa,2009,7.273,0.559,54.62,0.766,-0.001,0.41
Greece,Western Europe,2005,10.462,0.837,70.5,0.734,-0.2806363636363636,0.861
Singapore,Southeast Asia,2017,11.461,0.897,76.5,0.926,0.136,0.162
Afghanistan,South Asia,2011,7.62,0.521,51.92,0.496,0.162,0.731
Tanzania,Sub-Saharan Africa,2008,7.549,0.774,50.5,0.562,0.256,0.93
Taiwan Province of China,East Asia,2010,10.691,0.831,69.6,0.677,0.005,0.821
Uruguay,Latin America and Caribbean,2008,9.671,0.879,67.72,0.808,-0.143,0.597
Latvia,Central and Eastern Europe,2013,10.116,0.834,65.38,0.631,-0.073,0.837
Malawi,Sub-Saharan Africa,2017,6.945,0.555,56.9,0.848,0.025,0.735
Colombia,Latin America and Caribbean,2018,9.579,0.871,67.7,0.851,-0.148,0.855
Indonesia,Southeast Asia,2016,9.262,0.792,61.7,0.83,0.5,0.89
Hungary,Central and Eastern Europe,2013,10.14,0.877,66.08,0.674,-0.113,0.912
Luxembourg,Western Europe,2017,11.634,0.905,72.6,0.903,0.044,0.33
Ivory Coast,Sub-Saharan Africa,2021,8.551,0.644,50.114,0.741,-0.016,0.794
Austria,Western Europe,2021,10.906,0.934,73.3,0.908,0.042,0.481
France,Western Europe,2011,10.671,0.921,72.4,0.903,-0.102,0.627
Zimbabwe,Sub-Saharan Africa,2019,7.95,0.759,56.2,0.632,-0.064,0.831
United States,North America and ANZ,2008,10.922,0.953,68.38,0.878,0.255,0.668
Greece,Western Europe,2012,10.268,0.812,71.62,0.373,-0.305,0.959
Mauritania,Sub-Saharan Africa,2018,8.526,0.802,57.0,0.467,-0.112,0.711
Sweden,Western Europe,2009,10.74,0.903,71.76,0.864,0.221,0.292
